theta1,theta2,theta3,theta4,theta5,theta6,thetad1,thetad2,thetad3,thetad4,thetad5,thetad6,tau1,tau2,tau3,tau4,tau5,dm1,dm2,dm3,dm4,dm5,da1,da2,da3,da4,da5,db1,db2,db3,db4,db5,ANGLE-ACC-ARM
0.656316,0.126097,0.837585,0.442961,0.621512,0.087884,0.654444,0.897181,0.547758,0.193823,0.759508,0.963558,0.381992,0.175754,0.033725,0.124635,0.737611,0.128643,0.815192,0.08434,0.978388,0.766265,0.947502,0.87604,0.973548,0.115627,0.403159,0.006842,0.396272,0.047153,0.141671,0.757462,0.789319
0.41727,0.572673,0.176849,0.550369,0.124034,0.312169,0.355843,0.412995,0.429766,0.944196,0.868295,0.751606,0.410344,0.612354,0.354952,0.729817,0.806913,0.731863,0.852137,0.744238,0.453344,0.643443,0.113192,0.591238,0.248496,0.88229,0.563251,0.686814,0.301984,0.628336,0.224166,0.177498,0.498504
0.442818,0.844385,0.065345,0.865304,0.128608,0.156575,0.569433,0.432648,0.510062,0.905777,0.329429,0.9842,0.287845,0.098051,0.908818,0.388482,0.120842,0.429981,0.754562,0.52214,0.142726,0.268274,0.009251,0.654952,0.652881,0.972726,0.383449,0.857903,0.686686,0.167909,0.316291,0.447893,0.512818
0.55451,0.53506,0.122951,0.865889,0.949506,0.140809,0.728654,0.874191,0.429342,0.834027,0.760799,0.650464,0.645281,0.568646,0.218529,0.401648,0.394555,0.136532,0.376361,0.859384,0.470566,0.09086,0.869789,0.497687,0.568373,0.734083,0.876667,0.319326,0.131802,0.882879,0.516591,0.732552,0.479701
0.705521,0.889403,0.563607,0.565452,0.513781,0.961912,0.242517,0.168083,0.01664,0.487428,0.039297,0.334193,0.526402,0.884586,0.866208,0.400181,0.745881,0.10735,0.97266,0.494602,0.358531,0.176294,0.43823,0.409434,0.899512,0.866438,0.175969,0.023388,0.477376,0.922246,0.037385,0.106658,0.580503
0.918836,0.096702,0.872594,0.727044,0.309768,0.070014,0.46623,0.283967,0.34319,0.485747,0.797943,0.726493,0.364734,0.168737,0.167266,0.016083,0.354373,0.878198,0.985572,0.420425,0.825385,0.328808,0.198306,0.291678,0.573664,0.654466,0.871944,0.972212,0.81679,0.438066,0.966366,0.725914,0.748495
0.67523,0.924666,0.126562,0.539452,0.705884,0.733257,0.116752,0.899229,0.952798,0.809885,0.112167,0.65782,0.280218,0.919545,0.060458,0.318422,0.644288,0.858457,0.234124,0.324893,0.428221,0.420939,0.310567,0.990292,0.417757,0.48851,0.888953,0.753001,0.672271,0.939541,0.654251,0.266189,0.6061
0.655817,0.750492,0.280449,0.427589,0.378111,0.385457,0.503835,0.171811,0.637586,0.293992,0.834533,0.491707,0.655396,0.541263,0.272243,0.963984,0.357957,0.098144,0.285362,0.105646,0.017343,0.033616,0.971702,0.373441,0.210774,0.924978,0.967953,0.008438,0.208057,0.279489,0.278218,0.597432,0.109851
0.670991,0.704716,0.04367,0.64115,0.257156,0.069084,0.835079,0.173447,0.102123,0.592492,0.367346,0.053624,0.410918,0.255296,0.062091,0.760297,0.063065,0.490203,0.786032,0.203501,0.467857,0.558319,0.748972,0.073783,0.898381,0.861916,0.174229,0.798899,0.038753,0.288069,0.451939,0.170582,0.399935
0.522202,0.685083,0.126925,0.635488,0.146602,0.496625,0.997951,0.964331,0.357572,0.096485,0.234499,0.024756,0.250326,0.605014,0.069746,0.381337,0.03396,0.393242,0.36327,0.935976,0.583957,0.78847,0.063441,0.903191,0.117261,0.340501,0.526746,0.37484,0.131681,0.85276,0.403568,0.24522,0.403999
